product_name,review,review_date,score,user
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"I love this camera. I've been a longtime fan of canon rebel SLR. I was worried the digital model wouldn't live up to its predecessor. My worries were unfounded. Everything about this camera is wonderful. Easy to figure out (even for an old lady like me). I recommend spending several days with the camera just trying out all the features and functions before using it for an important event, because there are so many enhancements and possibilities. You COULD just put it on auto and get fantastic pictures, but then what would be the point of buying a camera with so many great features? The lenses included in this bundle are all great. The 500mm, I didn't think I'd use, but it's been so fun taking pics of the moon. It takes time to get used to the light balance if you are used to film cameras, so practice with it if that's how you started. If you started on digital cameras, you won't have any problems. The camera bag is too small to hold everything that comes with it, so if you want to take everything with you, get a bigger bag. The bag isn't waterproof, either. Just water resistant. So a good, large, waterproof camera bag is a good additional purchase. You can't go wrong with this bundle. I was so nervous buying something this expensive online, but I'm so happy I bought it.Included a few photos I've taken with it since buying it in June. The moon is with 500mm lens, manual setting w/250 shutter speed (on tripod using the included shutter cord/button). The other pics are in Colorado.","July 23, 2018",5.0 out of 5 stars,Elizabeth Bonecher-Brenaman
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I absolutely love this camera! I was extremely nervous to order something so expensive when it had only a few reviews. It comes with 3 lenses two of which are canon brand lenses and one that isn't but still is very nice. Plus it came with all kinds of fun other things like a mini tripod and an different filter lenses. Great purchase glad I took a chance on this product!,"May 6, 2018",5.0 out of 5 stars,Lisa F.
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"This is an amazing deal. I've been shopping around for this type of camera and lenses for quite some time so I knew what I wanted and the average price. Let me say, it was way more than this. AND here I got lots of accessories that I wouldn't have gotten at a store. I am not a professional photographer, just an amateur that wants to mess with it and learn. I've used a camera like this with my work so I am familiar with it and this one met all my expectations. I have not tried the very large lens yet but the two Cannon lenses work great. I also have not tried the flash that came with it yet. I'm delighted to have a mono-pole but will use a regular tripod, which I already have, when using the longest lens. I do have to say the bag that came with this stuff is a bit cheap feeling. I quickly ditched that and got a backpack to transport everything.","June 7, 2018",5.0 out of 5 stars,michs
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"I recently wrote a review and gave this item 4 stars. My sincere apologies for I thought I was missing 3 of the included filters. As I looked further in to the case it comes in, I found the 3 missing filters. Aside from that, this camera deal is a total package!! I'm most impressed with the quality of images and every time I use it, I get better as I become more familiar with the manipulation of its settings. I HIGHLY recommend this package!! THANK YOU!!","June 16, 2018",5.0 out of 5 stars,Richard Peña
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,This is my first DSLR camera.  I bought this to complement my DJI drone photography and im not disappointed. It's fun learning new stuff and this package comes with a ton of accessories to work with on my journey to evolve my skills.  I've included a few photos. I know i can do better once I've learned to master this tool.  Have fun!,"August 19, 2018",5.0 out of 5 stars,Hammikin Skywalker
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"Great camera. Two short lenses and great, the long one is a bit of a gimmick. This is. Super entry pack. And you can add better lenses, I have a EF 100-400mm f/4.5-5.6 IS II USM lens and the photos with it and this camera are mind blowing!","October 12, 2018",4.0 out of 5 stars,Denis Allman
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I received when expected and it was all in great condition. The T6 works great and I was very happy with all the extra lenses and filters etc that came with it. Haven't had time to try out everything yet. I have a T3 and T5 so I am very happy with this camera.,"June 30, 2018",5.0 out of 5 stars,Roseann Huebsch
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,Great Camera only thing I wish is that you could video record remotely using the app.,"June 21, 2018",4.0 out of 5 stars,Keith E. Lickley
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"Years ago I owned a Canon XTi Rebel 35mm film camera. Loved that camera!!! Then I bought an SX40 and loved that camera and last year decided on something stronger - the SX60. For some reason I couldn't get a feeling for that one. Then I saw the T6 w/the 500mm lens.  Almost identical to the XTi - only digital. Bought it on Black Friday, had it Saturday. I couldn't have asked for better packaging with the camera and one lens wrapped with bubble wrap. The 75-300 was in a box of it own and packed so it wouldn't bounce around. The whole bundle was packed very securely. Tried the camera and lenses and all worked as it should. I can see an affair coming already with this camera. If you've ever had one of the 35mm film Rebels, you'll adore this one.","November 26, 2018",5.0 out of 5 stars,PrestonPhoto
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"This is a great starter kit and a very good value for someone who wants a nice camera set up. Although I purchased some extra lenses and accessories to go with this set, I am very pleased with this set as a starter set. Takes great pictures, and is very versatile for someone who wants to take a lot of different types of photos. The lenses are not the best quality, but they are pretty well made and should last for a very long time if not abused.","January 9, 2019",4.0 out of 5 stars,Father
