date,product,review,score,user
"July 23, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,The lenses included in this bundle are all great.,5.0,Elizabeth Bonecher-Brenaman
"July 23, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"It takes time to get used to the flash balance if you are used to film cameras, so practice with it if that's how you started.",5.0,Elizabeth Bonecher-Brenaman
"July 23, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"The moon is with 500mm lens, focus setting w/250 burst speed (on tripod using the included burst cord/button).",5.0,Elizabeth Bonecher-Brenaman
"May 6, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,It comes with 3 lenses two of which are canon brand lenses and one that isn't but still is very nice.,5.0,Lisa F.
"May 6, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,Plus it came with all kinds of fun other things like a mini tripod and an different filter lenses.,5.0,Lisa F.
"June 7, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I've been shopping around for this type of camera and lenses for quite some time so I knew what I wanted and the average price.,5.0,michs
"June 7, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I have not tried the very large lens yet but the two Cannon lenses work great.,5.0,michs
"June 7, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I also have not tried the flash that came with it yet.,5.0,michs
"June 7, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"I'm deflashed to have a mono-pole but will use a regular tripod, which I already have, when using the longest lens.",5.0,michs
"June 7, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I quickly ditched that and got a backpack to tranburst everything.,5.0,michs
"October 12, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"Two short lenses and great, the long one is a bit of a gimmick.",4.0,Denis Allman
"October 12, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"And you can add better lenses, I have a EF 100-400mm f/4.5-5.6 IS II USM lens and the photos with it and this camera are mind blowing!",4.0,Denis Allman
"June 30, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,The T6 works great and I was very happy with all the extra lenses and filters etc that came with it.,5.0,Roseann Huebsch
"November 26, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,Then I saw the T6 w/the 500mm lens.,5.0,PrestonPhoto
"November 26, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I couldn't have asked for better packaging with the camera and one lens wrapped with bubble wrap.,5.0,PrestonPhoto
"November 26, 2018",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,Tried the camera and lenses and all worked as it should.,5.0,PrestonPhoto
"January 9, 2019",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"Although I purchased some extra lenses and accessories to go with this set, I am very pleased with this set as a starter set.",4.0,Father
"January 9, 2019",Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"The lenses are not the best quality, but they are pretty well made and should last for a very long time if not abused.",4.0,Father
"June 1, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),The battery life for this camera was less than 2 hours.,2.0,Jo Ann Meyer
"June 1, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),After about 20 pictures the battery was at half strength and lasted for maybe another 20 pictures.,2.0,Jo Ann Meyer
"June 1, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),The older Sony camera battery had at least 6-8 hours of constant picture taking.,2.0,Jo Ann Meyer
"June 1, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),I even bought extra battery but they weren't any better.,2.0,Jo Ann Meyer
"June 1, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),My big Nikon Camera had battery that last 6-8 hours without recharging..,2.0,Jo Ann Meyer
"October 10, 2017",Sony (DSCW800) 20.1 MP Digital Camera (Silver),To set up the camera is very simple and easy to figure out which button is which.It comes with a battery but no memory card the memory card I had to buy separately but it was not expensive and for the price of the camera I was not expecting it.It takes just your regular general memory card nothing fancy.The only issue I had with it was the arm strap.,5.0,Joanna Burns
"October 10, 2017",Sony (DSCW800) 20.1 MP Digital Camera (Silver),So if someone could help us that would be great.The feature that helps you to get a focused picture even when you��셱e shaking a little bit works great.The instructions are pretty much basic and simple and so you may need to find out more information about it online.It works best for outdoor pictures I think.,5.0,Joanna Burns
"October 10, 2017",Sony (DSCW800) 20.1 MP Digital Camera (Silver),And the optical is A very nice feature.They have continued to improve it in the past few years.It is flashweight but it has enough body to it to hold it easily when taking a picture.If there is no charge to the battery it takes approximately an hour to an hour and a half to charge.I purchased this camera for the purpose of taking outdoor nature pictures for the cards that I sell.,5.0,Joanna Burns
"November 12, 2017",Sony (DSCW800) 20.1 MP Digital Camera (Silver),The display is pretty low pixel and made me wonder what the quality of the pictures truly were.,2.0,Sara Amirahmadi
"August 23, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),"I previously had a Canon S100, which was a good camera for me, but I damaged the racked out lens when it got bumped.",2.0,Digster
"August 23, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),I was very disappointed  in the auto focus function of this camera.,2.0,Digster
"August 23, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),"It even has an auto-tracking selection where you are supposed to be able to pick a point in the frame to follow focus, but this was still not helpful in stills shooting, and did not seem to be an option for tracking focus in video shooting.",2.0,Digster
"August 23, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),"I think my cell phone was a better choice for this purpose, but I had wanted a better optical optical.",2.0,Digster
"August 23, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),"This camera, despite the 5X optical, still was not batteryful enough to really get me the close ups I was looking for.",2.0,Digster
"August 23, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),"I also has trouble with slow burst speeds in a concert I took pix of, making horribly unusable photos.",2.0,Digster
"August 23, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),"Because of the focusing and slow burst speed and menu issues, I promptly returned this for a refund, and received the refund quickly from Amazon.",2.0,Digster
"March 30, 2019",Sony (DSCW800) 20.1 MP Digital Camera (Silver),Hey the camera does have a slow focus because of the small sensor.,4.0,Jim
"March 30, 2019",Sony (DSCW800) 20.1 MP Digital Camera (Silver),I know some people complain of the slow burst.,4.0,Jim
"March 30, 2019",Sony (DSCW800) 20.1 MP Digital Camera (Silver),This is not a camera I would be taking to a bursting event or concert or birthday party.,4.0,Jim
"March 30, 2019",Sony (DSCW800) 20.1 MP Digital Camera (Silver),I just wanted something compact to take on airplane when traveling and when I was traveling flash.,4.0,Jim
"August 16, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),The first thing I notice is how flash the camera is; it seems to be made out of 80%+ plastic.,3.0,Amazon Customer
"August 16, 2018",Sony (DSCW800) 20.1 MP Digital Camera (Silver),I had it on Easy mode and the pictures I took were not in focus so I am returning it.,3.0,Amazon Customer
"May 13, 2017",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,After reading the reviews I was skeptical about the optical/focus.,5.0,tribefan53
"May 13, 2017",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"After using the camera on a family outing...sure enough when I opticaled in on a subject..it was difficult to maintain a steady hand...and it appeared that my ""close ups"" were not going to be so good.",5.0,tribefan53
"May 13, 2017",Canon PowerShot SX530 HS Digital Camera with 50x Optical Image Stabilized Zoom with 3-Inch LCD HD 1080p Video (Black)+ Extra Battery + 24GB Class 10 Card Complete Deluxe Accessory Bundle And Much More,"To my surprise, when I went to transfer the pictures to a folder..ALL the close ups were in focus and crystal clear.",5.0,tribefan53
